"","lon","lat"
"615",-87.8520243,42.567906
"616",-89.3242026,43.1233178
"617",-88.5817122,44.0147267
"618",-88.2348576,43.0109044
"619",-88.4126747,44.2731952
"620",-88.2339444,43.4304247
"621",-87.9804653,43.0937507
"622",-87.9004493,43.0882724
"623",-87.7828668,42.7233929
"624",-91.51332,44.79296
"625",-81.5491121,39.3038762
"626",-106.3493337,42.8309007
